Collection Date,Season,Station,Distance ,Core,Depth,Bottom_Temp,Bottom_Salinity,WC_Chla,Density,Porosity,C,N,CN,Sed_Chla,Sed_Phaeo,Bottom_DO,Bottom_NH4,Bottom_NO2,Bottom_NO3,Bottom_NOx,Bottom_DIN,Bottom_DIP,Initial_Temp,Initial_Salinity,Initial_DO,Initial_NH4,Initial_NO2,Initial_NO3,Initial_NOx,Initial_DIN,Initial_DIP,N2N,SOD,CH4,N2O,NH4,NO2,NO3,NOx,DIN,DIP,DIN.DIP
13-Jun-17,Summer,ARTG,77,12,29.87,,,3.945,1.15,0.8,2.449,0.281,10.187,0.752,163.738,0,3.07,0.12,0.82,0.93,4.01,1.09,17,26,171.04,1.79,0.095,0.592,0.68,2.477,1.082,33.026,486.815,11.64402034,14.634,-3.973,0.678,6.382,7.007,3.087,0.239,12.916
13-Jun-17,Summer,ARTG,77, Not ARTG,29.87,,,3.945,1.12,0.74,2.445,0.286,9.991,44.97,132.658,0,3.07,0.12,0.82,0.93,4.01,1.09,17.1,26.1,146.03,1.79,0.095,0.592,0.68,2.477,1.082,27.46,648.249,280.6631212,47.743,-5.356,1.331,5.89,7.214,1.865,0.009,207.222
13-Jun-17,Summer,ARTG,77, Not WLIS,29.87,,,3.945,0.96,0.67,2.429,0.277,10.242,20.286,133.27,0,3.07,0.12,0.82,0.93,4.01,1.09,17,25.9,141.96,1.79,0.095,0.592,0.68,2.477,1.082,26.542,633.153,0,12.76,10.08,0.991,11.473,12.331,22.544,2.106,10.705
21-Jul-16,Summer,ARTG,77,2,27.7,23.3,27.6,1.892,0.99,0.43,2.559,0.306,9.748,26.877,137.765,188.24,2.68,0.43,0.57,1.07,3.68,1.71,20.1,28.2,141.96,5.949,1.225,0.642,1.225,7.816,1.934,-75.503,196.768,-54.45626292,-9.946,80.641,-1.222,-0.504,-1.96,78.915,5.484,14.39
21-Jul-16,Summer,ARTG,77,12,27.7,23.3,27.6,1.892,0.96,0.39,2.558,0.304,9.82,27.479,147.592,188.24,2.68,0.43,0.57,1.07,3.68,1.71,20.8,28.5,145.09,5.949,1.225,0.642,1.225,7.816,1.934,-25.763,323.768,-67.55051798,-9.74,17.94,-0.603,-2.18,-2.273,15.157,-3.382,-4.482
21-Jul-16,Summer,ARTG,77,13,27.7,23.3,27.6,1.892,0.96,0.37,2.574,0.309,9.741,31.118,139.539,188.24,2.68,0.43,0.57,1.07,3.68,1.71,20.3,28,108.82,5.949,1.225,0.642,1.225,7.816,1.934,0,644.357,0,0,35.488,0.414,8.926,8.976,44.828,2.401,18.671
6-Jan-17,Winter,CLIS,142,15,27.43,5.8,28.7,1.002,1.4,0.47,0.504,0.05,12.549,11.414,44.101,318.95,1.091,1.221,3.712,5.013,6.024,1.98,7,29,237.02,1.227,1.267,3.49,4.859,5.984,6.086,0,120.229,-7.663663354,5.997,-2.603,-1.865,4.241,1.744,-0.227,-1.016,0.223
6-Jan-17,Winter,CLIS,142,17,27.43,5.8,28.7,1.002,1.56,0.41,0.454,0.042,13.061,4.435,21.371,318.95,1.091,1.221,3.712,5.013,6.024,1.98,6.9,29.2,259.85,1.227,1.267,3.49,4.859,5.984,6.086,0,126.546,0,2.205,,-1.319,2.077,0.357,0.758,0.005,151.6
6-Jan-17,Winter,CLIS,142,19,27.43,5.8,28.7,1.002,1.46,0.41,0.546,0.053,12.668,9.214,35.054,318.95,1.091,1.221,3.712,5.013,6.024,1.98,7.1,29.1,219.51,1.227,1.267,3.49,4.859,5.984,6.086,0,133.33,27.67680472,9.974,2.145,-1.405,8.527,6.371,9.267,-0.177,-52.356
21-Jul-16,Summer,CLIS,,,25.8,,,,,,,,,,,0,1.14,0.08,0.42,0.48,1.64,0.71,,,,1.201,0.074,0.331,0.404,1.606,0.754,,,,,,,,,,,
21-Aug-17,Summer,ELIS,172,14,22.56,21.5,30,1.69,1.66,0.29,,,,6.611,35.929,222.95,1.86,0.18,1.17,1.32,3.21,0.63,21.3,30.3,122.26,2.345,0.105,0.636,0.723,3.086,0.627,38.61,363.78,71.86235389,4.935,,,,,,,
21-Aug-17,Summer,ELIS,172,15,22.56,21.5,30,1.69,1.89,0.46,,,,5.356,33.479,222.95,1.86,0.18,1.17,1.32,3.21,0.63,21.4,30.4,232.65,2.345,0.105,0.636,0.723,3.086,0.627,0,339.834,132.8752399,0,-4.185,-0.576,-0.505,-1.257,-5.266,-0.915,5.755
21-Aug-17,Summer,ELIS,172,21,22.56,21.5,30,1.69,1.6,0.28,,,,3.978,29.709,222.95,1.86,0.18,1.17,1.32,3.21,0.63,21.2,30.5,175.11,2.345,0.105,0.636,0.723,3.086,0.627,41.544,730.313,339.4994909,26.688,,,,,,,
20-Jan-17,Winter,ELIS,172,4,24.38,5.8,31,1.882,1.46,0.41,,,,3.36,12.485,320.51,,0.024,3.493,3.607,3.517,1.019,6.7,30.9,172.3,0.735,0.325,3.746,3.898,4.806,4.633,34.199,99.007,0,-1.08,-8.542,-0.328,1.188,0.645,-7.682,-0.332,23.139
20-Jan-17,Winter,ELIS,172,6,24.38,5.8,31,1.882,1.66,0.34,,,,4.956,15.883,320.51,,0.024,3.493,3.607,3.517,1.019,6.7,30.8,250.16,0.735,0.325,3.746,3.898,4.806,4.633,0,85.099,0,0,-1.179,-0.334,-0.16,-0.606,-1.673,-0.364,4.596
20-Jan-17,Winter,ELIS,172,8,24.38,5.8,31,1.882,1.87,0.39,,,,2.48,9.935,320.51,,0.024,3.493,3.607,3.517,1.019,6.7,30.8,242.96,0.735,0.325,3.746,3.898,4.806,4.633,0,120.17,-14.9345585,0,4.541,-0.321,4.707,3.908,8.927,-0.862,-10.356
21-Jul-16,Summer,ELIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
